number,name,red,green,blue,hex,similar
341,Blue Violet - Light,183.0,191.0,221.0,b7bfdd,"['157', '3840', '800', '159', '3325', '927', '813', '3752', '3761', '156']"
347,Salmon - Very Dark,191.0,45.0,45.0,bf2d2d,"['321', '304', '3831', '326', '498', '349', '817', '666', '919', '355']"
349,Coral - Dark,210.0,16.0,53.0,d21035,"['666', '321', '304', '817', '347', '498', '150', '309', '3831', '600']"
350,Coral - Medium,224.0,72.0,72.0,e04848,"['3801', '309', '321', '3832', '608', '3830', '600', '335', '666', '602']"
351,Coral,233.0,106.0,103.0,e96a67,"['3328', '335', '3832', '961', '891', '3731', '3801', '3687', '3340', '899']"
352,Coral - Light,253.0,156.0,151.0,fd9c97,"['956', '3341', '893', '758', '152', '3806', '760', '3712', '3833', '3733']"
353,Peach,254.0,215.0,204.0,fed7cc,"['963', '951', '967', '225', '3824', '761', '739', '3779', '3708', '818']"
355,Terra Cotta - Dark,152.0,68.0,54.0,984436,"['3858', '221', '777', '632', '434', '3721', '3777', '869', '326', '315']"
356,Terra Cotta - Medium,197.0,106.0,91.0,c56a5b,"['3722', '3773', '3687', '407', '435', '961', '3830', '976', '3328', '3832']"
367,Pistachio Green - Dark,97.0,122.0,82.0,617a52,"['520', '320', '3362', '3363', '987', '3051', '535', '988', '163', '645']"
368,Pistachio Green - Light,166.0,194.0,152.0,a6c298,"['523', '3817', '563', '564', '3023', '955', '647', '318', '3013', '954']"
369,Pistachio Green - Very Light,215.0,237.0,204.0,d7edcc,"['772', '822', '644', '3033', '504', '928', '415', 'Ecru', '543', '168']"
370,Mustard - Medium,184.0,157.0,100.0,b89d64,"['3045', '371', '3828', '832', '612', '3012', '3064', '833', '831', '841']"
371,Mustard,191.0,166.0,113.0,bfa671,"['833', '422', '612', '370', '3045', '841', '3064', '3013', '734', '372']"
372,Mustard - Light,204.0,183.0,132.0,ccb784,"['734', '834', '3013', '3864', '3046', '437', '422', '833', '371', '842']"
400,Mahogany - Dark,143.0,67.0,15.0,8f430f,"['975', '918', '919', '433', '3777', '920', '780', '355', '300', '801']"
402,Mahogany - Very Light,247.0,167.0,119.0,f7a777,"['3854', '722', '3827', '728', '3341', '352', '956', '437', '3712', '3820']"
407,Desert Sand - Dark,187.0,129.0,97.0,bb8161,"['3828', '3773', '3722', '3064', '3045', '3863', '831', '356', '435', '436']"
413,Pewter Gray - Dark,86.0,86.0,86.0,565656,"['3787', '535', '3051', '779', '844', '3021', '158', '791', '3362', '839']"
414,Steel Gray - Dark,140.0,140.0,140.0,8c8c8c,"['169', '3022', '522', '3861', '646', '3053', '451', '642', '161', '3041']"
415,Pearl Gray,211.0,211.0,214.0,d3d3d6,"['168', '3743', '453', '3752', '159', '644', '3033', '153', '504', '800']"
420,Hazelnut Brown - Dark,160.0,112.0,66.0,a07042,"['3772', '167', '3826', '830', '611', '434', '3862', '435', '3773', '840']"
422,Hazelnut Brown - Light,198.0,159.0,123.0,c69f7b,"['612', '371', '841', '833', '3064', '3045', '3859', '3032', '372', '370']"
433,Brown - Medium,122.0,69.0,31.0,7a451f,"['3777', '801', '400', '918', '975', '632', '3857', '869', '355', '221']"
434,Brown - Light,152.0,94.0,51.0,985e33,"['632', '869', '3858', '420', '780', '355', '781', '301', '3826', '829']"
435,Brown - Very Light,184.0,119.0,72.0,b87748,"['3773', '976', '167', '3826', '420', '356', '407', '3776', '3772', '3722']"
436,Tan,203.0,144.0,81.0,cb9051,"['832', '977', '976', '3828', '407', '729', '3852', '3045', '370', '3064']"
437,Tan - Light,228.0,187.0,142.0,e4bb8e,"['3046', '834', '676', '758', '738', '372', '3825', '842', '3864', '152']"
444,Lemon - Dark,255.0,214.0,0.0,ffd600,"['973', '972', '725', '741', '740', '970', '726', '307', '971', '742']"
445,Lemon - Light,255.0,251.0,139.0,fffb8b,"['744', '165', '3822', '727', '745', '3855', '743', '472', '3819', '3821']"
451,Shell Gray - Dark,145.0,123.0,115.0,917b73,"['646', '3041', '640', '3022', '169', '840', '3052', '3861', '611', '414']"
452,Shell Gray - Medium,192.0,179.0,174.0,c0b3ae,"['648', '3864', '3782', '842', '318', '3042', '524', '647', '3023', '3727']"
453,Shell Gray - Light,215.0,206.0,203.0,d7cecb,"['3743', '168', '644', '415', '3033', '159', '3047', '153', '3752', '950']"
469,Avocado Green,114.0,132.0,60.0,72843c,"['730', '580', '3363', '905', '937', '829', '367', '320', '988', '520']"
470,Avocado Green - Light,148.0,171.0,79.0,94ab4f,"['3012', '703', '581', '3364', '906', '3011', '831', '3052', '989', '732']"
471,Avocado Green - Very Light,174.0,191.0,121.0,aebf79,"['3013', '734', '371', '368', '372', '523', '3053', '833', '3023', '3032']"
472,Avocado Green - Ultra Light,216.0,228.0,152.0,d8e498,"['676', '3348', '165', '3822', '738', '524', '613', '164', '3855', '744']"
498,Red - Dark,167.0,19.0,43.0,a7132b,"['816', '304', '817', '3685', '150', '347', '815', '3831', '321', '902']"
500,Blue Green - Very Dark,4.0,77.0,51.0,044d33,"['3818', '890', '319', '699', '3345', '909', '700', '820', '561', '939']"
501,Blue Green - Dark,57.0,111.0,82.0,396f52,"['3815', '561', '3346', '505', '3808', '163', '991', '987', '910', '3750']"
502,Blue Green,91.0,144.0,113.0,5b9071,"['562', '3814', '3768', '163', '3816', '320', '991', '3347', '988', '913']"
503,Blue Green - Medium,123.0,172.0,148.0,7bac94,"['992', '954', '563', '913', '3816', '989', '414', '522', '3839', '3053']"
504,Blue Green - Very Light,196.0,222.0,204.0,c4decc,"['966', '168', '3752', '927', '415', '164', '159', '369', '453', '3813']"
505,Grass Green - Dark,51.0,131.0,98.0,338362,"['3847', '3850', '991', '3815', '163', '501', '3808', '910', '911', '3812']"
517,Wedgewood - Dark,59.0,118.0,143.0,3b768f,"['3765', '3809', '824', '798', '312', '3760', '3842', '3812', '825', '3847']"
518,Wedgewood - Light,79.0,147.0,167.0,4f93a7,"['3810', '806', '825', '322', '3848', '3760', '597', '931', '3849', '3851']"
519,Sky Blue,126.0,177.0,200.0,7eb1c8,"['3755', '334', '809', '598', '794', '826', '807', '993', '932', '160']"
520,Fern Green - Dark,102.0,109.0,79.0,666d4f,"['3362', '3051', '535', '367', '3787', '645', '987', '610', '3363', '3781']"
522,Fern Green,150.0,158.0,126.0,969e7e,"['3053', '989', '642', '3022', '414', '3861', '3052', '3032', '841', '169']"
523,Fern Green - Light,171.0,177.0,151.0,abb197,"['3023', '647', '368', '318', '3032', '3013', '648', '3042', '3053', '926']"
524,Fern Green - Very Light,196.0,205.0,172.0,c4cdac,"['3348', '164', '3782', '966', '842', '613', '3813', '648', '452', '3864']"
535,Ash Gray - Very Light,99.0,100.0,88.0,636458,"['3787', '645', '520', '3051', '3362', '413', '367', '924', '317', '3781']"
543,Beige Brown - Ultra Very Light,242.0,227.0,206.0,f2e3ce,"['739', '3774', '677', '822', '951', 'Ecru', '225', '967', '353', '948']"
550,Violet - Very Dark,92.0,24.0,78.0,5c184e,"['154', '327', '3834', '915', '3802', '902', '3837', '3799', '779', '844']"
552,Violet - Medium,128.0,58.0,107.0,803a6b,"['3834', '3837', '315', '327', '3740', '718', '3802', '3860', '221', '777']"
553,Violet,163.0,99.0,139.0,a3638b,"['3835', '3041', '316', '208', '209', '451', '3861', '3726', '3607', '646']"
554,Violet - Light,219.0,179.0,203.0,dbb3cb,"['778', '3743', '3727', '453', '3609', '3608', '153', '168', '210', '224']"
561,Jade - Very Dark,44.0,106.0,69.0,2c6a45,"['501', '3346', '909', '319', '3818', '910', '3815', '986', '505', '3750']"
562,Jade - Medium,83.0,151.0,106.0,53976a,"['502', '3814', '163', '3816', '991', '320', '3347', '943', '913', '3850']"
563,Jade - Light,143.0,192.0,152.0,8fc098,"['954', '3817', '368', '993', '503', '926', '523', '564', '955', '992']"
564,Jade - Very Light,167.0,205.0,175.0,a7cdaf,"['955', '3817', '3813', '368', '966', '993', '524', '648', '932', '926']"
580,Moss Green - Dark,136.0,141.0,51.0,888d33,"['731', '732', '730', '469', '830', '3011', '829', '906', '905', '420']"
581,Moss Green,167.0,174.0,56.0,a7ae38,"['733', '470', '704', '166', '3012', '832', '732', '731', '906', '3852']"
597,Turquoise,91.0,163.0,179.0,5ba3b3,"['807', '826', '322', '518', '3849', '334', '3851', '992', '799', '806']"
598,Turquoise - Light,144.0,195.0,204.0,90c3cc,"['3755', '3766', '813', '932', '993', '519', '809', '156', '3840', '3817']"
600,Cranberry - Very Dark,205.0,47.0,99.0,cd2f63,"['601', '309', '3350', '3804', '3803', '602', '3801', '326', '3831', '321']"
601,Cranberry - Dark,209.0,40.0,106.0,d1286a,"['600', '309', '3804', '3350', '602', '3801', '3803', '666', '3831', '3832']"
602,Cranberry - Medium,226.0,72.0,116.0,e24874,"['3801', '3832', '335', '3805', '3804', '891', '3731', '3607', '600', '351']"
603,Cranberry - Light Medium,255.0,164.0,190.0,ffa4be,"['3706', '604', '776', '3326', '894', '957', '760', '3608', '3716', '3609']"
604,Cranberry - Light,255.0,176.0,190.0,ffb0be,"['894', '3706', '776', '957', '3326', '603', '3716', '3689', '760', '605']"
605,Cranberry - Very Light,255.0,192.0,205.0,ffc0cd,"['761', '3689', '3779', '3708', '3716', '3824', '754', '151', '604', '3609']"
606,Orange-red - Bright,250.0,50.0,3.0,fa3203,"['946', '720', '900', '608', '666', '349', '347', '921', '321', '922']"
608,Orange - Bright,253.0,93.0,53.0,fd5d35,"['721', '720', '947', '922', '350', '946', '3776', '351', '970', '3801']"
610,Drab Brown - Dark,121.0,96.0,71.0,796047,"['829', '3860', '3781', '869', '3790', '839', '632', '3862', '645', '520']"
611,Drab Brown,150.0,118.0,86.0,967656,"['840', '830', '3772', '3862', '3863', '640', '167', '420', '3011', '3790']"
