number,name,red,green,blue,hex,similar
3807,Cornflower Blue,96.0,103.0,140.0,60678c,"['3838', '792', '3746', '798', '3768', '333', '317', '793', '924', '931']"
3808,Turquoise - Ultra Very Dark,54.0,105.0,112.0,366970,"['3842', '930', '3847', '803', '824', '991', '312', '3850', '505', '3809']"
3809,Turquoise - Very Dark,63.0,124.0,133.0,3f7c85,"['517', '3765', '3850', '3847', '824', '798', '3812', '943', '3814', '991']"
3810,Turquoise - Dark,72.0,142.0,154.0,488e9a,"['518', '3760', '3848', '806', '825', '943', '3765', '3809', '517', '3814']"
3811,Turquoise - Very Light,188.0,227.0,230.0,bce3e6,"['827', '828', '3325', '3841', '3761', '964', '3752', '800', '3747', '504']"
3812,Seagreen - Very Dark,47.0,140.0,132.0,2f8c84,"['943', '3765', '3850', '3847', '3809', '517', '3810', '3814', '3760', '505']"
3813,Blue Green - Light,178.0,212.0,189.0,b2d4bd,"['966', '564', '927', '955', '164', '504', '524', '3348', '964', '157']"
3814,Aquamarine,80.0,139.0,125.0,508b7d,"['502', '943', '562', '3848', '991', '3809', '3768', '3850', '163', '3810']"
3815,Celadon Green - Dark,71.0,119.0,89.0,477759,"['163', '501', '991', '505', '924', '367', '987', '3362', '3808', '535']"
3816,Celadon Green,101.0,165.0,125.0,65a57d,"['913', '502', '562', '3848', '503', '3814', '992', '3768', '3347', '989']"
3817,Celadon Green - Light,153.0,195.0,170.0,99c3aa,"['993', '564', '563', '955', '926', '368', '318', '954', '523', '932']"
3818,Emerald Green - Ultra Very Dark,17.0,90.0,59.0,115a3b,"['500', '319', '909', '890', '561', '3345', '699', '700', '311', '910']"
3819,Moss Green - Light,224.0,232.0,104.0,e0e868,"['907', '3821', '307', '726', '743', '834', '472', '734', '445', '3820']"
3820,Straw - Dark,223.0,182.0,95.0,dfb65f,"['728', '3854', '977', '833', '834', '742', '3827', '734', '402', '3821']"
3821,Straw,243.0,206.0,117.0,f3ce75,"['743', '3827', '834', '728', '3854', '3855', '726', '3819', '437', '742']"
3822,Straw - Light,246.0,220.0,152.0,f6dc98,"['3855', '744', '738', '676', '745', '165', '472', '3856', '3825', '727']"
3823,Yellow - Ultra Pale,255.0,253.0,227.0,fffde3,"['746', '712', '3770', '3866', '3865', '819', 'White', '3078', '948', 'Ecru']"
3824,Apricot - Light,254.0,205.0,194.0,fecdc2,"['754', '761', '3779', '945', '353', '3689', '3856', '3716', '605', '950']"
3825,Pumpkin - Pale,253.0,189.0,150.0,fdbd96,"['3341', '3771', '3855', '738', '758', '437', '760', '676', '224', '3827']"
3826,Golden Brown,173.0,114.0,57.0,ad7239,"['420', '435', '167', '301', '782', '3773', '3772', '976', '781', '434']"
3827,Golden Brown - Pale,247.0,187.0,119.0,f7bb77,"['3821', '3854', '402', '743', '728', '834', '437', '3825', '742', '3820']"
3828,Hazelnut Brown,183.0,139.0,97.0,b78b61,"['407', '3045', '831', '370', '3064', '3863', '832', '436', '3773', '3859']"
3829,Old Gold - Very Dark,169.0,130.0,4.0,a98204,"['680', '782', '781', '780', '921', '920', '783', '301', '732', '3826']"
3830,Terra Cotta,185.0,85.0,68.0,b95544,"['326', '301', '3721', '3826', '356', '435', '3773', '3772', '420', '3858']"
3831,Raspberry - Dark,179.0,47.0,72.0,b32f48,"['326', '3803', '321', '304', '347', '3721', '777', '3350', '718', '600']"
3832,Raspberry - Medium,219.0,85.0,110.0,db556e,"['602', '3801', '335', '3328', '351', '3731', '3687', '961', '356', '891']"
3833,Raspberry - Light,234.0,134.0,153.0,ea8699,"['3733', '962', '3712', '893', '899', '956', '3705', '152', '892', '352']"
3834,Grape - Dark,114.0,55.0,93.0,72375d,"['327', '3837', '552', '3802', '315', '3740', '221', '779', '777', '3860']"
3835,Grape - Medium,148.0,96.0,131.0,946083,"['3041', '553', '208', '3726', '451', '646', '3746', '169', '316', '3861']"
3836,Grape - Light,186.0,145.0,170.0,ba91aa,"['3042', '647', '210', '318', '209', '3023', '3032', '452', '648', '155']"
3837,Lavender - Ultra Dark,108.0,58.0,110.0,6c3a6e,"['327', '3834', '552', '333', '3740', '3802', '315', '158', '791', '792']"
3838,Lavender Blue - Dark,92.0,114.0,148.0,5c7294,"['3807', '798', '931', '3768', '793', '3746', '825', '517', '3848', '3809']"
3839,Lavender Blue - Medium,123.0,142.0,171.0,7b8eab,"['799', '161', '793', '931', '334', '826', '155', '794', '414', '322']"
3840,Lavender Blue - Light,176.0,192.0,218.0,b0c0da,"['341', '157', '813', '800', '927', '3325', '156', '159', '3761', '932']"
3841,Baby Blue - Pale,205.0,223.0,237.0,cddfed,"['3747', '828', '3753', '827', '775', '3811', '928', '162', '3752', '3325']"
3842,Wedgewood - Dark,50.0,102.0,124.0,32667c,"['3808', '824', '803', '312', '930', '3847', '517', '3809', '798', '3765']"
3843,Electric Blue,20.0,170.0,208.0,14aad0,"['3844', '3845', '995', '996', '3846', '806', '958', '3851', '3760', '518']"
3844,Bright Turquoise - Dark,18.0,174.0,186.0,12aeba,"['3843', '3845', '995', '958', '806', '3851', '996', '3760', '3849', '518']"
3845,Bright Turquoise - Medium,4.0,196.0,202.0,04c4ca,"['3844', '3843', '3846', '996', '995', '958', '3851', '806', '959', '3849']"
3846,Bright Turquoise - Light,6.0,227.0,230.0,06e3e6,"['3845', '996', '3843', '3844', '995', '958', '959', '3851', '3849', '806']"
3847,Teal Green - Dark,52.0,125.0,117.0,347d75,"['3850', '3809', '505', '991', '3808', '3812', '3765', '3842', '824', '517']"
3848,Teal Green - Medium,85.0,147.0,146.0,559392,"['3810', '518', '3814', '943', '931', '825', '806', '3760', '3768', '3816']"
3849,Teal Green - Light,82.0,179.0,164.0,52b3a4,"['3851', '958', '597', '959', '807', '992', '518', '806', '3848', '3810']"
3850,Bright Green - Dark,55.0,132.0,119.0,378477,"['3847', '3812', '3809', '991', '943', '505', '3765', '3814', '3808', '517']"
3851,Bright Green - Light,73.0,179.0,161.0,49b3a1,"['3849', '958', '597', '959', '806', '518', '3848', '807', '3810', '992']"
3852,Straw - Very Dark,205.0,157.0,55.0,cd9d37,"['729', '783', '436', '832', '976', '977', '733', '3776', '3853', '581']"
3853,Autumn Gold - Dark,242.0,151.0,70.0,f29746,"['977', '721', '947', '741', '729', '3852', '436', '722', '3854', '3820']"
3854,Autumn Gold - Medium,242.0,175.0,104.0,f2af68,"['728', '402', '3827', '3820', '722', '742', '3821', '977', '834', '743']"
3855,Autumn Gold - Light,250.0,211.0,150.0,fad396,"['3822', '738', '744', '676', '3825', '3771', '3856', '745', '743', '437']"
3856,Mahogany - Ultra Very Light,255.0,211.0,181.0,ffd3b5,"['945', '3824', '754', '3779', '761', '950', '353', '745', '3716', '3689']"
3857,Rosewood - Dark,104.0,37.0,26.0,68251a,"['801', '300', '154', '898', '3777', '918', '433', '902', '3031', '814']"
3858,Rosewood - Medium,150.0,74.0,63.0,964a3f,"['355', '221', '632', '3721', '777', '434', '869', '315', '326', '3830']"
3859,Rosewood - Light,186.0,139.0,124.0,ba8b7c,"['612', '3064', '841', '223', '3861', '3045', '422', '316', '642', '3032']"
3860,Cocoa,125.0,93.0,87.0,7d5d57,"['3790', '3740', '610', '645', '315', '3862', '829', '535', '3781', '3787']"
3861,Cocoa - Light,166.0,136.0,129.0,a68881,"['642', '3859', '841', '3022', '316', '522', '3032', '451', '414', '3053']"
3862,Mocha Beige - Dark,138.0,110.0,78.0,8a6e4e,"['830', '3790', '611', '829', '3772', '610', '3860', '640', '420', '840']"
3863,Mocha Beige - Medium,164.0,131.0,92.0,a4835c,"['840', '831', '611', '167', '3828', '407', '3773', '3772', '3011', '830']"
3864,Mocha Beige - Light,203.0,182.0,156.0,cbb69c,"['842', '3782', '3046', '452', '648', '372', '613', '524', '3023', '437']"
3865,Winter White,249.0,247.0,241.0,f9f7f1,"['3866', '746', '712', 'White', '819', '3756', '3823', 'B5200', '3770', '762']"
3866,Mocha Brown - Ultra Very Light,250.0,246.0,240.0,faf6f0,"['3865', '746', '712', 'White', '819', '3823', '3770', '762', '3756', 'B5200']"
